;"Abfallkalender";"Augmented-Reality";"Baustellen-Verkehrsstoerungen";"Baustellen-Widget";"Bikesharing-Angebote";"Bilderslider";"Buergerbeteiligung";"Car-Angebote";"Chatbot-Integration";"Content-Widget";"Dashboard-mit-Widget-Store";"Datenvisualisierung-Grafana";"Digitale-Anzeigetafel";"Drawer-Navigation";"Einstellungen";"Event-Widget";"Events";"Feedback-Formular";"Fristenmelder";"Gastro-Angebote";"Gutscheine";"Header";"Hinweisgebersystem";"Intro";"Kachel-Seiten";"Karte";"Kommunales-Recht";"Listen-Seiten";"Maengelmelder-einfach";"Maengelmelder-mit-Schnittstelle";"Merkliste";"Mitfahr-Boerse";"Nachrichten";"News";"Nutzer-Tracking";"OPNV-Abfahrsplaene";"Persoenliches-Profil";"Postfach";"Produkte-und-Dienstleistungen";"Push-Nachrichten";"Rathaus-Info-System-oParl";"Schwarzes-Brett";"Sensor-Widget";"Smartes-Trampen-Begegnungen";"Social-Sharing";"Soziales-Netzwerk";"Standort-Freigabe";"Statische-Seiten";"Stellenanzeigen";"Stoerer";"Suche";"Tabbar";"Touren";"Umfrage-Widget";"Umfragen";"Vorteilssystem";"Webview";"Wegweiser";"Wetter";"Widget-Leiste";"Zustaendigkeitsfinder";"allgemein"
"Ahrensfelde";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Amt Schlieben";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Angermünde";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Arneburg-Goldbeck";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Augsburg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bad Belzig";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bernau bei Berlin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Birkenwerder";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Briesen (Mark)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Detmold";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Eberswalde";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Eichenzell";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Eisenhüttenstadt";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Falkenberg/Elster";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Frankfurt (Oder)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GEWOBA Bremen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Goslar";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
